"height";"weight";"age";"male"
151.765;47.8256065;63;1
139.7;36.4858065;63;0
136.525;31.864838;65;0
156.845;53.0419145;41;1
145.415;41.276872;51;0
163.83;62.992589;35;1
149.225;38.2434755;32;0
168.91;55.4799715;27;1
147.955;34.869885;19;0
165.1;54.487739;54;1
154.305;49.89512;47;0
151.13;41.220173;66;1
144.78;36.0322145;73;0
149.9;47.7;20;0
150.495;33.849303;65.3;0
163.195;48.5626935;36;1
157.48;42.3258035;44;1
143.9418;38.3568735;31;0
161.29;48.987936;39;1
156.21;42.7226965;29;0
146.4;35.493574;56;1
148.59;37.9032815;45;0
147.32;35.4652245;19;0
147.955;40.312989;29;1
161.925;55.111428;30;1
146.05;37.5063885;24;0
146.05;38.498621;35;0
152.7048;46.606578;33;0
142.875;38.838815;27;0
142.875;35.5786225;32;0
147.955;47.400364;36;0
160.655;47.8823055;24;1
151.765;49.4131785;30;1
162.8648;49.384829;24;1
171.45;56.5572525;52;1
147.32;39.12231;42;0
147.955;49.89512;19;0
154.305;41.2485225;55;1
143.51;38.55532;43;0
146.7;42.4;20;1
157.48;44.6504625;18;1
165.735;58.5984165;42;1
152.4;46.719976;44;0
141.605;44.22522;60;0
158.8;50.9;20;0
155.575;54.317642;37;0
164.465;45.8978405;50;1
151.765;48.024053;50;0
161.29;52.219779;31;1
154.305;47.62716;25;0
145.415;45.642695;23;0
145.415;42.410852;52;0
152.4;36.4858065;79.3;1
163.83;55.9335635;35;1